prompt,chosen,rejected
"Tóm tắt văn bản sau: Phần lớn thiết kế các bộ phận của robot hiện nay vẫn đang tập trung lấy hình mẫu từ con người và các sinh vật khác .Tuy nhiên , các nhà nghiên cứu từ Viện công nghệ Massachusetts ( MIT , Mỹ ) mới đây đã phát hiện tính chất khác lạ của tơ nhện cho thấy có thể dùng vật liệu siêu mỏng này làm cơ bắp nhân tạo cho robot .Trang tin Slash Gear ngày 5-3 cho biết nhóm nghiên cứu nhận thấy tơ nhện có những phản ứng "" rất mạnh "" trước các thay đổi của độ ẩm .Theo đó , khi độ ẩm trong không khí vượt quá một ngưỡng nhất định , các sợi tơ nhện sẽ đột nhiên co và xoắn lại .Đồng thời , các sợi tơ tạo ra lực đủ mạnh để cạnh tranh cùng các vật liệu được sử dụng làm bộ truyền động .Đặc tính này được gọi là siêu co thắt và được phát hiện hoàn toàn tình cờ khi nhóm nghiên cứu đang thực hiện một thí nghiệm mà trong đó họ treo một quả cân lên tơ nhện để tạo ra con lắc .Tiếp theo , họ mang con lắc này đặt vô một buồng có kiểm soát độ ẩm , và nhận thấy con lắc bắt đầu xoay khi độ ẩm đạt mức 70 % .Trước kết quả hoàn toàn nằm ngoài dự kiến ấy , nhóm nghiên cứu thấy rằng hoạt động co thắt và xoắn này rất thú vị khi áp dụng vào việc chế tạo robot và cả dùng làm vải thông minh .",Các nhà khoa học Mỹ mới đây phát hiện tơ nhện có phản ứng rất mạnh trước các thay đổi của độ ẩm và hi vọng sẽ sớm tạo ra cơ bắp nhân tạo từ loại vật liệu này .,Bài viết nói về nhiều chủ đề.
"Tóm tắt văn bản sau: Ngày 4/7 , trao đổi với VnExpress , trung tá Ngô Thanh Hoà - Trưởng phòng tham mưu Công an tỉnh Bình Phước cho biết , nguyên nữ đại biểu Quốc hội tỉnh Bình Phước Phạm Thị Mỹ Lệ ( 60 tuổi , ở thị xã Phước Long ) tử vong không phải là vụ án mạng .Bà Lệ phát biểu khi còn làm đại biểu Quốc hội .Theo cơ quan điều tra , tối 30/6 , bà Lệ được tài xế chở đến tiệm chăm sóc sắc đẹp tại phường Thác Mơ , thị xã Phước Long .Sau khi xăm môi , mày và uống một loại thuốc ở đây , trên đường về nhà , bà Lệ có dấu hiệu mệt mỏi , ngứa toàn thân .Thấy dấu hiệu bất thường , bà Lệ yêu cầu tài xế chở trở lại tiệm thẩm mỹ .Đến nơi , bà đã bất tỉnh , sùi bọt mép , được đưa đi cấp cứu nhưng không qua khỏi .Công an phối hợp cùng Viện kiểm sát Bình Phước vào cuộc điều tra , thu giữ một số mẫu thuốc , mực phun xăm để xác minh làm rõ ."" Phía gia đình cho rằng nạn nhân tử vong do bệnh lý nên có đơn không mổ tử thi điều tra "" , trung tá Hoà thông tin .Theo Giám đốc Sở Y tế Bình Phước Nguyễn Đồng Thông , nơi bà Lệ làm đẹp chỉ đơn thuần là cơ sở chăm sóc da , không nằm trong danh sách quản lý của sở ."" Tuy nhiên chúng tôi vẫn đang cho rà soát lại hoạt động của cơ sở này để có hướng xử lý "" , ông Thông cho biết .Bà Phạm Thị Mỹ Lệ ( 60 tuổi , quê An Giang ) là uỷ viên Trung ương Mặt trận Tổ quốc Việt Nam khoá VIII ( nhiệm kỳ 2014 - 2019 ) , đại biểu Quốc hội tỉnh Bình Phước khoá XIII ( 2011-2016 ) , Chủ tịch Hội Nữ doanh nhân tỉnh Bình Phước .Hoàng Trường - Văn Trăm","Rời cơ sở thẩm mỹ về nhà , bà Phạm Thị Mỹ Lệ có dấu hiệu mệt mỏi , ngứa toàn thân ... rồi tử vong .","Ngày 4/7 , trao đổi với VnExpress , trung tá Ngô T..."
"Tóm tắt văn bản sau: Trang tin Science Daily ngày 8-3 cho biết mạch lượng tử mới này sẽ mở ra cơ hội cho các ứng dụng trong tương lai ở các lĩnh vực như thiên văn vô tuyến và y học ( MRI ) .Nó cũng cho phép các nhà nghiên cứu thực hiện các thí nghiệm có thể làm sáng tỏ sự tương tác giữa cơ học lượng tử và trọng lực .Tất cả chúng ta đều cảm thấy khó chịu khi tín hiệu vô tuyến bị suy yếu tại một số thời điểm , ví dụ như khi đang nghe radio một bài hát yêu thích thì sóng bị nhiễu , sóng WiFi bị chập chờn do mang máy tính xách tay đi quá xa bộ định tuyến không dây .Giải pháp thông thường sẽ là chọn một đài phát thanh khác hoặc mang máy tính xách tay lại gần bộ định tuyến hơn .Tuy nhiên , điều gì sẽ xảy ra nếu chúng ta có thể lắng nghe cẩn thận hơn ?Sóng vô tuyến yếu không chỉ là thách thức và gây khó chịu cho việc nghe radio , mà còn ảnh hưởng đến máy quét hình ảnh cộng hưởng từ ( MRI ) tại các bệnh viện cũng như các kính viễn vọng được các nhà khoa học sử dụng để khám phá vũ trụ .Khối lượng tửMột trong những dự đoán kỳ lạ của cơ học lượng tử là năng lượng đến từ những khối nhỏ bé được gọi là "" lượng tử "" .Điều đó có nghĩa là gì ?"" Lấy ví dụ tôi đang đẩy một đứa trẻ lên xích đu - nhà nghiên cứu chính Mario Gely nói - Trong lý thuyết vật lý cổ điển , nếu tôi muốn đứa trẻ đi nhanh hơn một chút thì tôi cần một cú đẩy nhỏ , với nhiều tốc độ và nhiều năng lượng hơn .Nhưng cơ học lượng tử lại nói khác : Tôi chỉ có thể tăng năng lượng cho đứa trẻ bằng một "" bước lượng tử "" tại một thời điểm .Việc chỉ đẩy một nửa bước là không thể "" .Đối với một đứa trẻ trên xích đu , những "" bước lượng tử "" này rất nhỏ để có thể nhận biết .Điều tương tự này cũng đúng với sóng vô tuyến cho đến gần đây .Tuy nhiên , nhóm nghiên cứu thuộc Đại học Delft đã phát triển một mạch thực sự có thể phát hiện những khối năng lượng này trong tín hiệu tần số vô tuyến , mở ra tiềm năng cảm nhận sóng vô tuyến ở mức lượng tử .Từ radio lượng tử đến trọng lực lượng tử ?Ngoài các ứng dụng trong cảm biến lượng tử , nhóm nghiên cứu còn quan tâm đến việc đưa cơ học lượng tử lên một tầm cao mới : khối lượng .Trong khi lý thuyết về điện từ lượng tử đã được phát triển cách đây gần 100 năm , các nhà vật lý đến nay vẫn còn bối rối về cách đưa lực hấp dẫn vào cơ học lượng tử ."" Bằng việc sử dụng radio lượng tử , chúng tôi muốn thử lắng nghe và kiểm soát các rung chuyển lượng tử của các vật thể nặng và từ đó khám phá thực nghiệm điều gì xảy ra khi trộn lẫn cơ học lượng tử với trọng lực "" - Gely cho biết ."" Những thí nghiệm như vậy rất khó nhưng nếu thành công , chúng tôi sẽ có thể kiểm tra xem liệu có thể tạo ra sự chồng chất lượng tử của chính không - thời gian hay không , một khái niệm mới sẽ kiểm tra sự hiểu biết của chúng ta về cả cơ học lượng tử lẫn thuyết tương đối rộng "" .","Các nhà khoa học tại Đại học công nghệ Delft , Hà Lan vừa thành công trong việc tạo ra một mạch lượng tử cho phép họ nghe được tín hiệu vô tuyến yếu nhất nhờ vào các cơ học lượng tử .",Văn bản có 2749 ký tự.
"Tóm tắt văn bản sau: Trong số 91 người nhập viện có 51 trường hợp được xe cấp cứu 115 chuyển đến và 40 bệnh nhân tự đến .Đến 16h cùng ngày , đã có 35 người được xuất viện , còn 56 người đang tiếp tục điều trị .Trong đó có 1 bệnh nhân nặng đang thở máy và theo dõi tại Bệnh viện Chợ Rẫy , 2 bệnh nhi nặng , đang thở máy tại Bệnh viện Nhi Đồng 1 .Cụ thể , Bệnh viện Chợ Rẫy đang điều trị cho 12 bệnh nhân ( 10 nạn nhân và 2 chiến sĩ công an PCCC ) .Phần lớn các bệnh nhân sức khoẻ đã ổn định .Hai chiến sĩ công an , một người đã được cho về , một người bị phỏng đang được điều trị tại khoa phỏng .Bệnh viện Nhi Đồng 1 tiếp nhận 8 trường hợp , hiện chỉ còn 2 trẻ đang nằm ở khoa hồi sức tích cực và 1 trẻ mới vào đang theo dõi ( tình trạng nhẹ ) .Trong khi đó , ở Bệnh viện Nguyễn Tri Phương có 20 bệnh nhân , đã xuất viện 2 người , 18 người còn lại đã ổn định , đang tiếp tục theo dõi .Bệnh viện Triều An tiếp nhận 10 nạn nhân , sau đó 3 người được chuyển đến Bệnh viện Chợ Rẫy , 6 người đã xuất viện , 1 trường hợp nặng hơn cả đang được khoa chấn thương chỉnh hình theo dõi tình trạng lún trượt cột sống do nhảy từ lầu 2 .Bệnh viện quận 6 tiếp nhận 29 bệnh nhân , chỉ còn 7 người đang tiếp tục điều trị .Bệnh viện quốc tế City tiếp nhận 26 ca cấp cứu từ vụ cháy , đến giờ đã cho xuất viện 10 người .Trong 13 nạn nhân tử vong có 1 trường hợp do nhảy lầu , 2 trường hợp do ngạt khói và 10 trường hợp bị cháy .3 nạn nhân là trẻ em ( 2 nam , 1 nữ ) và 10 nạn nhân là người lớn ( 3 nam , 7 nữ ) .Các nạn nhân này hiện đã được chuyển về Bệnh viện Nguyễn Tri Phương và Bệnh viện An Bình .","Thông tin do Sở Y tế TP. HCM cung cấp chiều 23-3 . 13 người đã tử vong tại hiện trường , 91 người nhập viện từ vụ cháy ở chung cư Carina , phần lớn do ngạt khói .",Bài viết nói về nhiều chủ đề.
"Tóm tắt văn bản sau: Theo thông tin ban đầu , vào khoảng 16h20 ngày 31/8 , tại phường Cẩm Thạch , TP. Cẩm Phả , tỉnh Quảng Ninh , người dân phát hiện một người đàn ông tử vong bất thường đã báo cơ quan chức năng .Tại hiện trường , nạn nhân là ông Nguyễn Ngọc Đ.( SN : 1965 , trú tại tổ 7 , phường Cẩm Thạch , TP.Cẩm Phả ) , người dân nghi ngờ ông Đ. tử vong do bị điện giật .Lãnh đạo UBND phường Cẩm Thạch cho biết : ” Ngay khi nhận được tin báo của người dân , chúng tôi đã có mặt tại hiện trường để phối hợp với cơ quan chức năng điều tra nguyên nhân , nạn nhân là người hay sử dụng rượu bia nên hay mất kiểm soát .Còn nguyên nhân tử vong phải chờ cơ quan chức năng điều tra mới có thể kết luận là do điện giật hay không ?Hiện gia đình nạn nhân đang chờ để cơ quan chức năng khám nghiệm và bàn giao thi thể để gia đình lo hậu sự "" .Vu việc đang được cơ quan công an và các đơn vị chức năng tỉnh Quảng Ninh điều tra , làm rõ .","Khi được quần chúng nhân dân phát hiện , ông Đ. đã tử vong , nhiều người nhận định nhiều khả năng nạn nhân đã bị điện giật .","Theo thông tin ban đầu , vào khoảng 16h20 ngày 31/..."
"Tóm tắt văn bản sau: Chiều 31/5 , ông Nguyễn Trọng Bình , Trưởng Công an xã Đại Sơn ( Đô Lương , Nghệ An ) cho biết , bà Nguyễn Thị Quyên ( 42 tuổi ) và ông Lê Văn Kiệm ( 72 tuổi , cùng trú xã Đại Sơn ) bị trâu điên tấn công nguy kịch đang phải cấp cứu .Trước đó sẩm tối 30/5 , bà Quyên đi chăn trâu thuê cho ông Nguyễn Văn Nho trú ở địa bàn .Đàn trâu hàng chục con được bà Quyên lùa từ cánh đồng về tới gần cổng UBND xã Đại Sơn thì bất ngờ một con trâu đực rống lên , tách đoàn .Bà Quyên vội lùa con trâu này vào chuồng bỏ trống của một nhà dân bên đường để bắt .Khi trâu vào chuồng , bà đóng chốt cổng để bắt dây xỏ mũi thì bị tấn công tới tấp .Nghe tiếng kêu cứu , chủ nhà vội tới tháo cổng để trâu chạy ra ngoài , giải cứu nạn nhân .Chạy khỏi chuồng , gặp ông Lê Văn Kiệm ( 72 tuổi ) đang đạp xe đạp bên lề đường , trâu lao tới húc liên tiếp rồi tháo chạy .Chính quyền xã vội phát loa phóng thanh cảnh báo người dân đóng hết cửa nhà và cổng đề phòng nguy hiểm .Lực lượng quân sự tại huyện Đô Lương đã thống nhất với chính quyền phương án bắn hạ trâu .Đến 20h cùng ngày , khi trâu chạy tới một bãi ngô thì bị nhà chức trách dùng súng AK bắn hạ .Nạn nhân bị trâu húc đang được điều trị tại Bệnh viện Đa khoa Nghệ An .Theo ông Nho , con trâu này ông mới mua với giá 42 triệu đồng tại miền núi phía Tây Nghệ An về để nuôi và chuẩn bị bán cho thương lái khác .Về tình trạng nạn nhân , đến chiều nay bà Quyên và ông Kiệm vẫn đang nằm điều trị tại Bệnh viện Đa khoa Nghệ An .Bà Quyên bị nhiều vết thương sâu , mất nhiều máu , tràn khí , gãy xương bả vai và xương sườn .Ông Kiệm gẫy hai xương đòn , mất nhiều máu .Hải Bình","Con trâu bất ngờ tách đoàn , tấn công người phụ nữ làm nhiệm vụ chăn thả và một người đàn ông trên đường , gây thương tích nặng .",Văn bản có 1597 ký tự.
"Tóm tắt văn bản sau: Những người chơi thể thao hoặc đơn giản là những hoạt động , vận động trong công việc hằng ngày ra mồ hôi , cần bổ sung nước và các khoáng chất thiết yếu như thế nào để duy trì sự bền bỉ cho cơ thể và dẻo dai để giành chiến thắng trong thể thao , nâng cao hiệu quả trong hoạt động hàng ngày ?Theo tài liệu Dược điển Đức ( 1800 ) đã ghi : “ Nước là thành phần cơ bản chủ yếu của mọi tổ chức , là cơ sở cho sự sống , là yếu tố cho mọi sự vận động và tồn tại ”. Do đó , việc bổ sung đủ lượng nước cho cơ thể là điều vô cùng cần thiết. Đối với những người chơi thể thao , hay do thời tiết nắng nóng , ra mồ hôi , việc uống nước không những để giải khát , kiểm soát nhiệt độ cơ thể mà còn giúp tránh mất nước , các muối khoáng , cân bằng điện giải , cung cấp năng lượng và duy trì sự bền bỉ. Cũng theo tài liệu hướng dẫn của Đại học Y khoa Thể thao Hoa Kỳ , những người tập luyện thể thao lưu ý phải uống nước đúng cách và không nên quên bổ sung nước trước , trong và sau khi tập luyện cũng như thi đấu do ra mồ hôi. Với các môn vận động cần sự bền bỉ như : điền kinh , bóng đá , boxing , … sẽ khiến cơ thể đổ mồ hôi nhiều , dẫn đến mất nước và các chất điện giải thiết yếu như Potassium ( K + ) , Sodium ( Na + ) , Chloride ( Cl ) … Đây là những khoáng chất đặc biệt cần thiết cho sự vận động bền bỉ và dẻo dai của cơ thể. Nếu thiếu những khoáng chất này , cơ thể dễ rơi vào trạng thái mất cân bằng , mệt mỏi , làm xáo trộn sự điều hoà thân nhiệt đồng thời làm giảm hiệu suất hoạt động thể chất và tinh thần. Điển hình là câu chuyện của vận động viên môn chạy bền Ultra - marathon Vũ Phương Thanh ( Thanh Vũ ) - Người Việt đầu tiên chinh phục 1. Cự ly giải UTMB dài 100 dặm ( 167 km ) và kéo dài trong 46,5 giờ. Thanh Vũ kể lại : “ Sau 143 km và 38 tiếng chạy liên tục , leo qua hàng chục dãy đồi núi , tôi đã quá mệt mỏi và lơ là việc nạp nước , muối , điện giải dẫn tới tình trạng hyponatremia nghiêm trọng ( hạ sodium huyết và nồng độ Na + trong máu xuống thấp ) , sau đó ngất xỉu khi cách đích không xa ”. Sở dĩ có tình trạng này là do vận động liên tục trong thời gian dài , mồ hôi đổ ra nhiều khiến cơ thể mất đi khoáng chất và lượng muối cần thiết để cân bằng hoạt động. Ở mức độ nguy hiểm , tình trạng này gây ra rối loạn , co giật và hôn mê. Rất may đội ngũ bác sĩ chuyên nghiệp của giải đã thực hiện cấp cứu rồi đưa Thanh tới bệnh viện bằng trực thăng cứu hộ kịp thời. Sau sự cố này , cùng với sự hướng dẫn của các chuyên gia về thể lực , Thanh Vũ đã chú ý hơn trong việc sử dụng các thức uống chức năng bổ sung nước và các chất điện giải thiết yếu. Thanh Vũ cũng thường xuyên chia sẻ điều này với những người chơi thể thao để không mắc phải trường hợp tương tự như cô. Một trong những loại thức uống vận động yêu thích của Thanh Vũ là Number 1 Active Chanh Muối. Sản phẩm này có chứa các khoáng chất thiết yếu như potassium ( K + ) , sodium ( Na + ) , chloride ( Cl - ) … giúp Thanh Vũ thêm bền bỉ , dẻo dai mỗi khi vận động và ra nhiều mồ hôi khi tập luyện , cũng như tham gia chinh phục các thử thách khắc nghiệt. Gần đây nhất , tại giải bóng đá học sinh THPT Hà Nội - Báo An ninh Thủ đô - Cup Number 1 Active , xuất hiện trong vai trò là đại sứ thương hiệu Number 1 thuộc Tập đoàn Tân Hiệp Phát , Thanh Vũ không chỉ góp phần tạo không khí náo nhiệt trên khắp khán đài và truyền cảm hứng cho các cầu thủ với một tinh thần “ Không gì là không thể ” , mà Thanh Vũ chia sẻ thêm những kinh nghiệm để duy trì sự bền bỉ , giành chiến thắng trong thể thao với các cầu thủ. Các huấn luyện viên thể thao thường khuyên người tập thể thao chỉ nên uống các loại nước chuyên biệt dành cho thể thao. Và trên thị trường hiện nay , nước uống vận động Number 1 Active chanh muối là một sản phẩm rất phù hợp cho những người chơi thể thao hoặc đơn giản là những hoạt động , vận động trong công việc hằng ngày ra mồ hôi , cơ thể mất nước cần bổ sung nước và các muối khoáng cần thiết giúp duy trì năng lượng và chất điện giải trong cơ thể. Với vị thanh ngọt hoà lẫn dịu mặn của muối khoáng , sẽ giúp cơ thể bền bỉ và dẻo dai để giành chiến thắng trong thể thao , nâng cao hiệu quả trong hoạt động hàng ngày. Trần Hằng.","Khi vận động nhiều , lượng nhiệt tạo ra trong cơ thể sẽ chuyển ra da , sau đó làm bay hơi mồ hôi , góp phần giảm khoảng 80 % lượng nhiệt tạo ra trong quá trình vận động , dẫn đến mất nước và kéo theo lượng lớn các loại khoáng chất thiết yếu , làm cho cơ thể dễ rơi vào trạng thái mất cân bằng , mệt mỏi .",Những người chơi thể thao hoặc đơn giản là những h...
"Tóm tắt văn bản sau: Sau khi kết hôn , suốt thời gian vừa qua , Justin Bieber được các tay paparazzi ghi lại những khoảnh khắc ủ rũ , buồn chán thậm chí khóc tức tưởi trên phố .Bên cạnh , vợ Hailey liên tục có hành động vỗ về và an ủi .Nguyên nhân là giọng ca Baby đang phải đối mặt với bệnh trầm cảm .Trang People khẳng định , "" Justin có vẻ mệt mỏi và suy sụp .Anh ấy đang vật lộn với tình trạng đó và phải tìm gặp bác sĩ tâm lý "" .Mới đây , trên Instagram , ngôi sao người Canada đã viết "" tâm thư "" về việc tạm ngừng ca hát để ổn định tinh thần .Bieber viết : "" Nhiều người hâm mộ đã gửi tin nhắn và hy vọng tôi có thể tiếp tục ra album .Như các bạn biết , tôi đã dành cả thanh xuân của mình cho các chuyến lưu diễn , và đầu những năm 20 tuổi , tôi nhận ra bản thân không vui trong các buổi hoà nhạc đó .Tôi không xứng đáng với tình cảm của fan hâm mộ "" .Tiếp tục , Bieber nói anh muốn giải quyết các vấn đề mình gặp phải để sẵn sàng xây đắp một gia đình hạnh phúc với người vợ mới Hailey , sau khi đẩy lùi căn bệnh trầm cảm và những suy nghĩ tiêu cực .Bieber trải lòng : "" Tôi đã tìm kiếm , thử nghiệm và học cách sửa lỗi như tất cả mọi người .Hiện tôi muốn tập trung giải quyết các vấn đề sâu xa mà mình gặp phải , để tôi không sụp đổ .Tôi có thể duy trì hôn nhân của mình và sẽ trở thành người cha tốt "" .Và lời hứa cuối tâm thư sẽ khiến fan hâm mộ hài lòng hơn bao giờ hết : "" Âm nhạc quan trọng nhưng tôi phải ưu tiên cho gia đình và sức khoẻ trước .Tôi sẽ cố gắng ra mắt album càng sớm càng tốt "" - Bieber hứa với hàng triệu khán giả mến mộ .Nhiều nguồn tin khẳng định , Justin Bieber đang trải qua những ngày khó khăn và tìm kiếm sự giúp đỡ của các chuyên gia tâm lý ."" Justin có vẻ mệt mỏi và suy sụp .Anh ấy đang vật lộn với tình trạng đó "" , một nguồn tin thân cận chia sẻ trên People .Trang này thông tin thêm : "" Cậu ấy ban đầu là một thiếu niên tuổi teen người Canada rất dễ thương .Cậu ấy từng là một đứa trẻ tuyệt vời , đáng yêu , lịch sự và đối xử tốt với mọi người .Sự nổi tiếng quá mức đã thay đổi hoàn toàn Justin .Cậu ấy muốn gì được nấy và ở giữa những người luôn tuân theo lệnh mình .Cậu ấy trở nên dễ xúc động và mệt mỏi vì danh vọng , mệt mỏi với chuyện bị bám theo , bị fan theo dõi , máy ảnh luôn chụp thẳng vào mặt mình .Mọi chuyện khiến Justin phát điên và cảm thấy mọi người đều bám theo để bắt lấy mình "" .Trong cuộc phỏng vấn với tạp chí Vogue tháng 3 , Justin Bieber đã trải lòng về căn bệnh trầm cảm của anh rằng : "" Tôi đã bị trầm cảm khi đi tour "" , Justin nhớ lại chuyến lưu diễn Purpose 2017 khi anh phải huỷ 14 show còn lại để nghỉ ngơi , anh nói : "" Tôi chưa từng nói về điều này vì đến giờ tôi vẫn đang đấu tranh với nhiều thứ .Tôi đã rất cô đơn và cần thời gian cho riêng mình "" .Nhớ lại quãng thời gian đen tối cách đây 5 năm , Bieber còn thú nhận việc đã lạm dụng thuốc chống trầm cảm Xanax vì nỗi xấu hổ với bản thân khi vì lối sống quá phóng túng , anh nhớ lại : "" Nhiều lần các vệ sĩ đã tới phòng tôi lúc đêm khuya để kiểm tra mạch đập của tôi và xem tôi còn thở hay không "" .Bước vào giới showbiz khi mới 15 tuổi , chủ nhân hit Baby từ ca sĩ tuổi teen có gương mặt dễ thương , trở thành một ngôi sao lắm tài nhiều tật với cơ thể kín hình xăm và nhiều hành vi ngông cuồng .Anh từng vướng vào nhiều scandal rắc rối : Sử dụng chất kích thích , qua đêm với gái làng chơi , lái xe trong tình trạng say xỉn , ẩu đả với phóng viên và phải đi điều trị trầm cảm .Đời sống tình cảm của Justin cũng gây ồn ào .Nam ca sĩ hẹn hò với Hailey từ năm 2015 đến năm 2016 .Tháng 6/2018 , sau khi chia tay mối tình đầu Selena Gomez , Justin và Hailey quay lại bên nhau .Justin cầu hôn bạn gái một tháng sau đó khi đang đi nghỉ ở quần đảo Bahamas .Tháng 9 năm ngoái , cả hai đăng ký kết hôn ở thành phố New York ( Mỹ ) .Sam ( tổng hợp )","Thừa nhận mắc bệnh trầm cảm , giọng ca "" As long as you love me "" sẽ trở lại nhanh chóng sau khi chữa khỏi bệnh hoàn toàn .",Bài viết nói về nhiều chủ đề.
"Tóm tắt văn bản sau: Lốp xe phế thải chất cao như núi , tràn từ vườn nhà dân ra đường cái ở thôn Hoà Bình , xã Nghĩa Hoà , huyện Tư Nghĩa .Còn ông Nguyễn Văn Dũng ( ngụ thôn Hoà Bình , xã Nghĩa Hoà ) cho hay , tiếp xúc lâu ngày với lốp cao su nhiều người bị biến dạng , thối móng tay chân ...Theo bà Trần Thị Hạ Vũ - Phó Chi cục bảo vệ môi trường Quảng Ngãi - qua kiểm tra cho thấy công tác vệ sinh và bảo vệ môi trường nơi đây còn chưa được quan tâm .Ngoài ra , các chất thải phát sinh từ nghề này nếu không được thu gom xử lý sẽ gây ô nhiễm môi trường đất , tắc nghẽn các cống rãnh , kênh mương khu vực lân cận …Trước tình hình này , chính quyền địa phương xã Nghĩa Hoà đang qui hoạch khu vực Đồng Gieo khoảng 1,2 ha ( cách trung tâm xã 1,5 km ) để di dời các hộ gia đình làm nghề này đến nơi sản xuất tập trung vừa kiểm soát an toàn vệ sinh lao động vừa hạn chế tối thiểu gây ô nhiễm môi trường , ảnh hưởng sức khoẻ người dân .Trí Tín","Hàng nghìn người ở xã Nghĩa Hoà , huyện Tư Nghĩa ( Quảng Ngãi ) hàng ngày hít thở mùi cao su phế thải , nguy cơ gây bệnh cao , từ nghề tái chế lốp ôtô cũ .","Lốp xe phế thải chất cao như núi , tràn từ vườn nh..."
"Tóm tắt văn bản sau: Trao đổi với VnExpress chiều 26/2 , ông Lê Quang Nam , Giám đốc Sở Tài nguyên và Môi trường TP Đà Nẵng , cho biết đã có kết luận chính thức về "" vệt nước đỏ "" xuất hiện ven biển Đà Nẵng nhiều ngày qua ."" Hôm qua , vệt nước đỏ có xuất hiện trở lại ven biển Sơn Trà .Chúng tôi lập tức lấy mẫu về phân tích và xác định đây là những ấu trùng ruốc , hay còn gọi là trứng ruốc "" , ông Nam nói .Vệt nước đỏ ven biển Đà Nẵng là trứng ruốc .Theo ông Nam , sau Tết là đến mùa ruốc .Những năm trước , vệt nước đỏ đều xuất hiện nhưng diện tích ít .Năm nay trứng ruốc dày đặc , không chỉ ở Bãi Nam ( bán đảo Sơn Trà ) , mà còn xuất hiện trên vịnh Đà Nẵng ."" Đây là hiện tượng bình thường , nước biển không bị ô nhiễm .Qua kính hiển vi , chúng tôi quan sát trứng có hình tròn , di chuyển chậm chạp trong nước , sau đó mọc đuôi , bơi tung tăng "" , ông Nam nói thêm .Trưa 24/2 , trên trang Facebook Quản lý đô thị Đà Nẵng xuất hiện một số hình ảnh vệt nước biển có màu đỏ được chụp ở Bãi Nam , bán đảo Sơn Trà , thu hút nhiều ý kiến trái chiều .Sở Tài nguyên TP Đà Nẵng đã cử cán bộ túc trực 24/24 để lấy mẫu nước làm xét nghiệm .Nguyễn Đông","Qua phân tích mẫu , ngành môi trường khẳng định vệt nước đỏ ven biển Đà Nẵng là ấu trùng ruốc ( trứng ruốc ) . Qua một ngày , ấu trùng mọc đuôi bơi tung tăng trong nước .","Trao đổi với VnExpress chiều 26/2 , ông Lê Quang N..."
